연도,월,기준월,시도,전기차등록대수,충전량_kWh,충전횟수,충전시간_h,활성충전기수,EV당충전량,EV당충전횟수,활성기당충전량
2020,3,2020-03,부산,3624,30301.78,1783.0,389.93,47.0,8.36,0.49,644.72
2020,3,2020-03,서울,17172,78846.65,4773.0,1027.58,76.0,4.59,0.28,1037.46
2020,3,2020-03,세종,1017,14373.8,903.0,192.11,22.0,14.13,0.89,653.35
2020,3,2020-03,울산,1650,42945.13,2450.0,593.88,90.0,26.03,1.48,477.17
2020,3,2020-03,인천,3270,65394.99,3518.0,769.43,63.0,20.0,1.08,1038.02
2020,3,2020-03,전남,3893,95842.24,5787.0,1369.45,230.0,24.62,1.49,416.71
2020,3,2020-03,전북,2270,114277.23,6175.0,1472.4,177.0,50.34,2.72,645.63
2020,3,2020-03,제주,18793,115014.1,7438.0,1750.56,98.0,6.12,0.4,1173.61
2020,3,2020-03,충남,3281,150636.25,8513.0,2082.1,204.0,45.91,2.59,738.41
2020,3,2020-03,충북,2617,132918.35,7529.0,1859.11,186.0,50.79,2.88,714.61
2020,4,2020-04,강원,2753,112586.72,6469.0,1659.05,261.0,40.9,2.35,431.37
2020,4,2020-04,경기,14546,241086.51,13597.0,3472.27,279.0,16.57,0.93,864.11
2020,4,2020-04,경남,4432,125539.6,7322.0,1885.85,197.0,28.33,1.65,637.26
2020,4,2020-04,경북,4682,272582.96,14912.0,3757.6,351.0,58.22,3.18,776.59
2020,4,2020-04,광주,2710,37191.46,2009.0,456.39,49.0,13.72,0.74,759.01
2020,4,2020-04,대구,11878,92406.65,5011.0,1047.0,81.0,7.78,0.42,1140.82
2020,4,2020-04,대전,2962,55239.53,2946.0,660.97,75.0,18.65,0.99,736.53
2020,4,2020-04,부산,3883,32087.9,1777.0,381.93,42.0,8.26,0.46,764.0
2020,4,2020-04,서울,17622,77784.84,4598.0,1003.02,120.0,4.41,0.26,648.21
2020,4,2020-04,세종,1024,15519.85,864.0,173.88,27.0,15.16,0.84,574.81
2020,4,2020-04,울산,1738,48023.12,2659.0,588.22,85.0,27.63,1.53,564.98
2020,4,2020-04,인천,3345,62203.64,3309.0,757.84,85.0,18.6,0.99,731.81
2020,4,2020-04,전남,4067,112093.81,6253.0,1454.23,225.0,27.56,1.54,498.19
2020,4,2020-04,전북,2467,136895.79,7007.0,1736.94,158.0,55.49,2.84,866.43
2020,4,2020-04,제주,19092,105934.37,6740.0,1563.51,104.0,5.55,0.35,1018.6
2020,4,2020-04,충남,3560,176966.25,9460.0,2358.44,193.0,49.71,2.66,916.92
2020,4,2020-04,충북,2939,161860.67,8779.0,2250.26,168.0,55.07,2.99,963.46
2020,5,2020-05,강원,2839,134109.17,7504.0,1971.6,260.0,47.24,2.64,515.8
2020,5,2020-05,경기,14876,258121.79,14006.0,3820.7,282.0,17.35,0.94,915.33
2020,5,2020-05,경남,4568,155092.57,8788.0,2245.58,215.0,33.95,1.92,721.36
2020,5,2020-05,경북,4818,317048.75,16751.0,4341.74,364.0,65.81,3.48,871.01
2020,5,2020-05,광주,2745,37072.53,1921.0,468.26,51.0,13.51,0.7,726.91
2020,5,2020-05,대구,12160,109955.34,5593.0,1278.59,91.0,9.04,0.46,1208.3
2020,5,2020-05,대전,3001,63268.48,3231.0,772.46,76.0,21.08,1.08,832.48
2020,5,2020-05,부산,3936,37535.71,2042.0,523.55,50.0,9.54,0.52,750.71
2020,5,2020-05,서울,18098,89093.5,4979.0,1164.45,117.0,4.92,0.28,761.48
2020,5,2020-05,세종,1030,16645.17,913.0,212.22,30.0,16.16,0.89,554.84
2020,5,2020-05,울산,1774,51148.5,2689.0,635.33,91.0,28.83,1.52,562.07
2020,5,2020-05,인천,3402,65919.4,3481.0,891.3,79.0,19.38,1.02,834.42
2020,5,2020-05,전남,4125,119722.34,6422.0,1608.24,234.0,29.02,1.56,511.63
2020,5,2020-05,전북,2561,159333.72,7851.0,2026.87,172.0,62.22,3.07,926.36
2020,5,2020-05,제주,19388,121872.91,7512.0,1953.08,122.0,6.29,0.39,998.96
2020,5,2020-05,충남,3701,192814.85,9857.0,2529.05,210.0,52.1,2.66,918.17
